,3 & D Wing,Combo Guard,Defensive Forward,Offensive Big Man,Pace & Space Forward,Post-Heavy Big Man,Primary Distributing Ballhandler,Slashing Guard,Team,Team_year,3PAr,FTr,Pace,principal component 1,principal component 2,Cluster
44,0,1,2,0,3,0,2,1,Los Angeles Clippers/2018,Los Angeles Clippers/2018,0.314,0.299,98.7,-0.81834924726106,0.2614377634137946,3
45,1,2,2,2,0,1,1,0,Los Angeles Lakers/2016,Los Angeles Lakers/2016,0.29,0.292,95.6,0.6735673996297196,-0.44423410982780964,3
46,1,4,1,2,1,0,0,0,Los Angeles Lakers/2017,Los Angeles Lakers/2017,0.295,0.259,98.5,1.0811159723948187,1.4762475889198463,1
47,2,0,0,2,3,0,2,0,Los Angeles Lakers/2018,Los Angeles Lakers/2018,0.329,0.264,100.3,0.3998481462029246,2.9129810139994134,1
48,1,1,1,1,1,1,3,0,Memphis Grizzlies/2016,Memphis Grizzlies/2016,0.222,0.295,93.3,-0.46424553761472814,-0.5935297979803956,3
49,1,1,2,1,2,0,2,0,Memphis Grizzlies/2017,Memphis Grizzlies/2017,0.316,0.28,92.3,-1.253634059492808,0.3868242103944682,2
50,1,2,2,0,2,0,2,0,Memphis Grizzlies/2018,Memphis Grizzlies/2018,0.317,0.255,94.9,-1.3514967076846327,1.077372656805844,2
51,0,0,2,2,1,0,2,2,Miami Heat/2016,Miami Heat/2016,0.221,0.282,93.6,-1.6108124224811275,-2.45531378265823,0
52,1,0,2,2,3,0,0,1,Miami Heat/2017,Miami Heat/2017,0.314,0.251,95.2,-1.3811722227322434,0.6349881497073502,2
53,2,1,2,1,2,0,1,0,Miami Heat/2018,Miami Heat/2018,0.358,0.229,95.6,-1.3310543296718929,1.9977178161097617,2
54,1,0,4,0,1,1,1,1,Milwaukee Bucks/2016,Milwaukee Bucks/2016,0.189,0.276,94.2,-2.991072540968449,-1.6571646126091304,0
55,1,0,1,3,1,1,1,1,Milwaukee Bucks/2017,Milwaukee Bucks/2017,0.29,0.274,94.5,0.26850667538331624,-0.903385695880417,5
