,Team,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,opp_Team_x,opp_MP,opp_3PA,opp_3P%,opp_2PA,opp_2P%,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,opp_PTS,Dist.,Pct_FGA_by_dist_2P,Pct_FGA_by_dist_0-3,Pct_FGA_by_dist_3-10,Pct_FGA_by_dist_10-16,Pct_FGA_by_dist_16-3pt,Pct_FGA_by_dist_3P,FGP_by_dist_2P,FGP_by_dist_0-3,FGP_by_dist_3-10,FGP_by_dist_10-16,FGP_by_dist_16-3pt,FGP_by_dist_3P,3FG_%assisted,3FG_corner_%3PA,3FG_corner_3P%,opp_Team_y,opp_Dist.,opp_Pct_FGA_by_dist_2P,opp_Pct_FGA_by_dist_0-3,opp_Pct_FGA_by_dist_3-10,opp_Pct_FGA_by_dist_10-16,opp_Pct_FGA_by_dist_16-3pt,opp_Pct_FGA_by_dist_3P,opp_FGP_by_dist_2P,opp_FGP_by_dist_0-3,opp_FGP_by_dist_3-10,opp_FGP_by_dist_10-16,opp_FGP_by_dist_16-3pt,opp_FGP_by_dist_3P,opp_3FG_%assisted,opp_3FG_corner_%3PA,opp_3FG_corner_3P%,Age,W,L,PW,PL,MOV,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,ORB%,FT/FGA,opp_eFG%,DRB%,opp_FT/FGA,Attend.,Attend./G,Playoff,Tier
20,Phoenix Suns,19705,27.8,0.33399999999999996,59.0,0.49200000000000005,23.8,0.741,10.2,33.7,21.2,6.9,4.5,15.7,21.9,103.5,Phoenix Suns,19705,29.1,0.373,59.2,0.519,24.5,0.7659999999999999,10.4,35.3,23.2,8.6,5.9,13.3,20.8,112.8,12.5,0.68,0.313,0.145,0.115,0.107,0.32,0.49200000000000005,0.618,0.387,0.39899999999999997,0.369,0.33399999999999996,0.823,0.209,0.366,Phoenix Suns,13.0,.670,.306,.133,.106,.125,.330,.519,.640,.417,.441,.400,.373,.817,.190,.401,23.7,21.0,61.0,19,63,-9.37,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,0.495,22.5,0.203,0.5329999999999999,76.5,0.212,690576,16843,0,Rebuilding
21,Detroit Pistons,19805,29.9,0.373,59.9,0.488,20.4,0.745,10.5,34.7,23.5,7.9,4.0,13.9,19.0,107.2,Detroit Pistons,19805,31.8,0.359,56.2,0.515,19.5,0.7759999999999999,9.5,35.7,26.0,7.5,5.0,15.3,19.0,107.3,13.1,0.667,0.26,0.185,0.107,0.11599999999999999,0.33299999999999996,0.488,0.657,0.34600000000000003,0.433,0.38799999999999996,0.373,0.889,0.22699999999999998,0.392,Detroit Pistons,13.6,.638,.251,.177,.105,.105,.362,.515,.703,.373,.405,.417,.359,.904,.233,.387,25.9,39.0,43.0,41,41,-0.15,107.2,107.3,-0.1,96.2,0.22699999999999998,0.33299999999999996,0.5429999999999999,0.512,22.7,0.16899999999999998,0.524,78.5,0.172,713945,17413,0,Mid-Tier
22,Miami Heat*,19930,31.6,0.36,56.6,0.508,20.2,0.755,9.6,35.3,23.5,7.8,5.5,14.9,20.8,106.8,Miami Heat*,19930,27.5,0.36,59.1,0.491,23.7,0.7829999999999999,9.4,35.2,21.7,7.8,4.8,14.6,20.0,106.3,13.2,0.642,0.27899999999999997,0.163,0.095,0.10400000000000001,0.358,0.508,0.6579999999999999,0.41600000000000004,0.38299999999999995,0.36700000000000005,0.36,0.9079999999999999,0.256,0.38799999999999996,Miami Heat*,12.7,.683,.279,.188,.102,.113,.317,.491,.621,.392,.399,.422,.360,.820,.199,.363,26.5,44.0,38.0,42,40,0.48,106.8,106.3,0.5,95.6,0.22899999999999998,0.358,0.551,0.52,21.5,0.17300000000000001,0.507,79.0,0.215,804850,19630,1,Mid-Tier
23,Orlando Magic,19730,29.8,0.35100000000000003,57.5,0.504,20.8,0.757,9.0,33.4,23.8,7.7,5.0,14.8,19.6,105.2,Orlando Magic,19730,28.0,0.36200000000000004,61.0,0.516,21.6,0.773,10.8,35.9,24.8,7.9,5.0,14.5,19.3,110.1,13.3,0.6579999999999999,0.259,0.18,0.10800000000000001,0.11199999999999999,0.342,0.504,0.688,0.39799999999999996,0.34700000000000003,0.40299999999999997,0.35100000000000003,0.851,0.17800000000000002,0.374,Orlando Magic,12.7,.685,.280,.179,.100,.126,.315,.516,.678,.392,.441,.391,.362,.834,.229,.427,25.6,25.0,57.0,28,54,-4.82,105.2,110.1,-4.9,98.1,0.23800000000000002,0.342,0.545,0.512,20.0,0.18,0.525,75.6,0.187,734531,17915,0,Rebuilding
24,Atlanta Hawks,19705,31.5,0.36,55.4,0.495,20.5,0.785,9.2,33.4,24.1,7.9,4.3,15.8,19.9,105.0,Atlanta Hawks,19705,31.2,0.377,56.9,0.52,20.9,0.772,10.4,34.5,26.5,8.8,5.6,15.3,20.6,110.6,13.6,0.637,0.27899999999999997,0.131,0.105,0.122,0.363,0.495,0.635,0.35100000000000003,0.39899999999999997,0.41100000000000003,0.36,0.8690000000000001,0.243,0.426,Atlanta Hawks,13.7,.646,.271,.127,.116,.132,.354,.520,.648,.430,.438,.416,.377,.872,.216,.381,25.4,24.0,58.0,27,55,-5.45,105.0,110.6,-5.6,98.3,0.23600000000000002,0.363,0.547,0.512,21.1,0.185,0.536,76.2,0.183,590769,14409,0,Rebuilding
25,Chicago Bulls,19855,31.3,0.355,58.2,0.478,19.4,0.759,9.7,35.3,23.6,7.7,3.6,14.1,19.3,103.8,Chicago Bulls,19855,32.9,0.37,54.5,0.534,20.4,0.787,8.5,37.5,26.1,7.2,5.2,13.7,17.5,110.9,13.6,0.65,0.254,0.165,0.095,0.135,0.35,0.478,0.624,0.39,0.38799999999999996,0.377,0.355,0.848,0.184,0.37200000000000005,Chicago Bulls,13.7,.624,.292,.122,.090,.119,.376,.534,.681,.394,.425,.401,.370,.864,.213,.393,24.4,27.0,55.0,23,59,-7.04,103.8,110.9,-7.1,98.3,0.21600000000000003,0.35,0.529,0.49700000000000005,20.6,0.16399999999999998,0.542,80.6,0.184,851824,20776,0,Rebuilding
26,San Antonio Spurs*,19730,25.3,0.35200000000000004,64.3,0.499,22.0,0.772,10.9,35.6,23.9,8.0,5.9,13.8,18.0,107.9,San Antonio Spurs*,19730,27.6,0.348,60.9,0.501,19.8,0.759,9.7,35.0,22.9,8.0,4.1,14.8,20.7,104.8,12.7,0.718,0.261,0.16899999999999998,0.14300000000000002,0.14400000000000002,0.282,0.499,0.66,0.406,0.41600000000000004,0.4,0.35200000000000004,0.897,0.235,0.4,San Antonio Spurs*,12.8,.688,.281,.161,.121,.125,.312,.501,.634,.396,.425,.409,.348,.827,.213,.358,29.3,47.0,35.0,49,33,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.5429999999999999,0.507,23.7,0.18899999999999997,0.507,78.6,0.17,754562,18404,1,Mid-Tier
27,Dallas Mavericks,19805,34.1,0.36,55.2,0.496,19.4,0.763,8.4,34.4,23.5,7.3,3.9,12.8,20.0,106.3,Dallas Mavericks,19805,30.6,0.363,56.5,0.526,22.2,0.757,9.2,38.4,24.4,7.5,4.7,14.3,20.3,109.5,14.4,0.618,0.24100000000000002,0.135,0.105,0.13699999999999998,0.382,0.496,0.652,0.4,0.385,0.405,0.36,0.8240000000000001,0.16899999999999998,0.41600000000000004,Dallas Mavericks,13.8,.649,.238,.167,.113,.130,.351,.526,.698,.412,.457,.421,.363,.826,.190,.384,27.7,24.0,58.0,33,49,-3.04,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,18.0,0.166,0.532,78.9,0.193,811453,19792,0,Rebuilding
28,Memphis Grizzlies,19705,27.6,0.35200000000000004,59.5,0.486,22.2,0.7859999999999999,10.0,32.6,22.7,7.9,5.1,15.7,24.4,104.5,Memphis Grizzlies,19705,30.5,0.368,54.0,0.516,28.2,0.769,10.0,34.7,23.3,8.5,5.4,15.5,21.5,111.0,12.8,0.6829999999999999,0.312,0.139,0.1,0.132,0.317,0.486,0.62,0.35200000000000004,0.37200000000000005,0.39799999999999996,0.35200000000000004,0.815,0.18899999999999997,0.35,Memphis Grizzlies,13.3,.639,.296,.131,.102,.111,.361,.516,.659,.390,.400,.390,.368,.833,.223,.425,26.0,22.0,60.0,25,57,-6.21,104.5,111.0,-6.5,94.9,0.255,0.317,0.539,0.5,22.4,0.201,0.529,76.5,0.256,653863,15948,0,Rebuilding
29,Sacramento Kings,19755,25.2,0.375,65.2,0.479,17.5,0.735,9.9,33.0,22.6,8.2,4.4,14.4,21.0,103.7,Sacramento Kings,19755,33.1,0.377,53.4,0.527,22.5,0.765,9.5,36.4,24.8,8.1,5.0,15.1,18.2,111.1,12.9,0.722,0.242,0.205,0.115,0.159,0.278,0.479,0.642,0.395,0.385,0.40700000000000003,0.375,0.8170000000000001,0.2,0.409,Sacramento Kings,13.8,.617,.260,.166,.081,.110,.383,.527,.685,.424,.416,.397,.377,.828,.205,.406,26.4,27.0,55.0,23,59,-6.99,103.7,111.1,-7.4,94.9,0.19399999999999998,0.278,0.529,0.502,21.5,0.14300000000000002,0.542,77.6,0.19899999999999998,714680,17431,0,Rebuilding
