,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,as_caliber,PC1,PC2,Cluster
682,Greg Monroe\monrogr01,C,27,PHO,20,14,465,10.0,16.0,0.626,0.0,0.0,0.0,10.0,16.0,0.626,3.2,4.7,0.674,5.1,11.3,16.5,5.1,1.6,0.6,4.1,4.1,23.2,117.0,110,23.0,0.58,0.0,0.348,11.9,24.4,18.2,20.5,2.8,2.9,17.4,24.9,0.8,1.1,2.0,0.193,0.2,4.3,4.5,0.8,0,-2.735771553819407,1.6674886802686169,1
683,Greg Monroe\monrogr01,C,27,BOS,26,0,496,10.6,20.0,0.53,0.0,0.0,0.0,10.6,20.0,0.53,5.5,7.0,0.797,5.3,11.3,16.6,5.9,2.8,1.7,4.8,4.8,26.7,111.0,98,21.2,0.598,0.0,0.308,11.4,25.2,18.3,18.7,2.1,1.8,17.7,22.4,1.8,1.6,3.4,0.155,0.1,2.3,2.4,1.2,0,-2.7257892291833654,1.918167339086527,1
684,Greg Monroe\monrogr01,C,27,BOS,26,0,496,10.6,20.0,0.53,0.0,0.0,0.0,10.6,20.0,0.53,5.5,7.0,0.797,5.3,11.3,16.6,5.9,2.8,1.7,4.8,4.8,26.7,111.0,98,11.1,0.489,0.0,0.121,8.9,28.1,18.5,10.2,0.0,0.0,14.7,23.3,-0.1,0.0,0.0,-0.013,-6.1,-3.5,-9.6,-0.2,0,-1.6511531620373452,1.8832345628444906,6
685,Greg Monroe\monrogr01,C,27,BOS,26,0,496,10.6,20.0,0.53,0.0,0.0,0.0,10.6,20.0,0.53,5.5,7.0,0.797,5.3,11.3,16.6,5.9,2.8,1.7,4.8,4.8,26.7,111.0,98,21.0,0.642,0.0,0.297,11.3,25.7,18.4,18.2,1.6,1.0,18.6,19.6,1.0,0.4,1.4,0.142,1.1,1.1,2.3,0.5,0,-2.761115988271187,1.5415757431695638,1
686,Greg Monroe\monrogr01,C,27,BOS,26,0,496,10.6,20.0,0.53,0.0,0.0,0.0,10.6,20.0,0.53,5.5,7.0,0.797,5.3,11.3,16.6,5.9,2.8,1.7,4.8,4.8,26.7,111.0,98,23.0,0.58,0.0,0.348,11.9,24.4,18.2,20.5,2.8,2.9,17.4,24.9,0.8,1.1,2.0,0.193,0.2,4.3,4.5,0.8,0,-2.6210203293304066,1.7000127727156877,1
687,Luis Montero\montelu01,SG,24,DET,2,0,8,0.0,6.2,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,109,-15.5,0.0,0.0,0.0,0.0,28.2,13.8,0.0,0.0,0.0,66.7,16.6,-0.1,0.0,-0.1,-0.445,-23.7,-2.1,-25.9,0.0,0,1.3525112836190867,0.5652939115114968,4
688,Ben Moore\moorebe01,PF,22,IND,2,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,5.6,0.0,0.0,0.0,22.2,0.0,222.0,113,-2.3,0.0,0.0,0.0,0.0,12.5,6.3,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,-5.3,0.3,-5.0,0.0,0,-0.7412736359563035,-1.442297254536185,3
689,E'Twaun Moore\mooreet01,SG,28,NOP,82,80,2586,7.8,15.4,0.508,2.4,5.6,0.425,5.4,9.8,0.556,0.9,1.3,0.706,1.1,3.3,4.4,3.5,1.5,0.2,1.9,3.4,18.9,111.0,112,12.1,0.593,0.362,0.08199999999999999,2.5,7.3,5.0,10.1,1.5,0.4,10.6,16.1,2.8,1.6,4.4,0.081,0.6,-0.8,-0.2,1.2,0,0.552183734356769,-1.0321872921467985,0
690,Eric Moreland\moreler01,PF,26,DET,67,3,805,4.1,7.6,0.541,0.0,0.0,0.0,4.1,7.6,0.541,0.7,1.8,0.379,5.0,12.2,17.2,4.8,1.9,3.2,2.6,7.2,8.9,111.0,101,13.9,0.531,0.0,0.238,10.9,27.6,19.1,13.3,1.9,5.6,23.8,9.7,0.7,1.6,2.3,0.135,-3.1,5.8,2.6,0.9,0,-4.114968241761724,2.504233388528226,1
691,Jaylen Morris\morrija01,SG,22,ATL,6,0,98,6.5,15.9,0.406,1.0,5.0,0.2,5.5,11.0,0.5,0.0,0.0,0.0,1.0,7.0,8.0,3.5,1.0,0.5,3.0,1.0,14.0,83.0,113,6.5,0.438,0.313,0.0,2.3,15.9,9.1,10.8,1.0,0.9,15.8,16.9,-0.2,0.1,-0.1,-0.053,-6.1,-1.0,-7.1,-0.1,0,0.22477449361604027,-0.5803979295657111,3
