,Player_x,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Player_year,Year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All-Star_caliber
10,Lou Amundson\amundlo01,PF,33,NYK,29,0,204,4.8,13.4,0.358,0.0,0.0,0.0,4.8,13.4,0.358,3.5,6.8,0.519,5.8,6.6,12.3,3.0,1.5,1.8,3.8,11.1,13.1,87.0,106,Lou Amundson\amundlo01/2016,2016,6.7,0.401,0.0,0.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,-0.3,0.2,-0.1,-0.013999999999999999,-5.3,0.4,-5.0,-0.2,0
11,Chris Andersen\anderch01,C,37,TOT,27,15,402,4.9,9.2,0.528,0.5,1.8,0.28600000000000003,4.4,7.4,0.586,3.2,4.6,0.6940000000000001,4.6,7.9,12.5,1.5,1.9,1.7,1.2,3.7,13.4,127.0,106,Chris Andersen\anderch01/2016,2016,15.3,0.598,0.19399999999999998,0.5,9.9,18.2,13.9,4.4,1.9,2.9,9.3,10.8,0.8,0.4,1.3,0.149,-0.3,1.1,0.8,0.3,0
12,Alan Anderson\anderal01,SG,33,WAS,13,0,192,5.3,15.0,0.35600000000000004,3.0,9.4,0.324,2.3,5.6,0.409,2.8,3.8,0.733,0.3,6.6,6.9,3.6,1.0,0.3,0.5,6.3,16.5,107.0,108,Alan Anderson\anderal01/2016,2016,9.2,0.495,0.627,0.254,0.6,15.5,7.9,10.3,1.0,0.4,3.0,15.4,0.2,0.2,0.3,0.078,-1.2,-1.7,-2.8,0.0,0
13,James Anderson\anderja01,SG,26,SAC,51,15,721,4.5,11.9,0.376,1.5,5.7,0.267,2.9,6.1,0.478,1.5,1.9,0.759,0.9,4.9,5.7,2.7,1.4,0.9,2.8,3.6,11.9,87.0,111,James Anderson\anderja01/2016,2016,6.0,0.469,0.483,0.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,-0.6,0.4,-0.3,-0.017,-3.9,-0.3,-4.2,-0.4,0
14,Kyle Anderson\anderky01,SF,22,SAS,78,11,1245,5.7,12.1,0.46799999999999997,0.5,1.5,0.324,5.2,10.6,0.488,2.5,3.4,0.747,1.0,9.0,10.0,5.1,2.5,1.2,2.4,4.0,14.4,104.0,97,Kyle Anderson\anderky01/2016,2016,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,0.7,2.8,3.5,0.133,-1.9,3.7,1.8,1.2,0
15,Ryan Anderson\anderry01,PF,27,NOP,66,7,2008,9.8,22.9,0.42700000000000005,3.2,8.8,0.366,6.6,14.1,0.466,4.9,5.6,0.873,3.2,6.5,9.8,1.8,0.9,0.6,2.2,2.7,27.8,108.0,112,Ryan Anderson\anderry01/2016,2016,17.2,0.546,0.385,0.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,3.1,0.8,3.9,0.092,1.5,-2.9,-1.4,0.3,0
16,Giannis Antetokounmpo\antetgi01,PG,21,MIL,80,79,2823,9.3,18.3,0.506,0.5,2.0,0.257,8.8,16.3,0.537,5.3,7.4,0.7240000000000001,2.0,9.0,11.0,6.2,1.7,2.0,3.8,4.7,24.4,109.0,106,Giannis Antetokounmpo\antetgi01/2016,2016,18.8,0.5660000000000001,0.10800000000000001,0.40399999999999997,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,4.2,2.9,7.1,0.121,1.0,1.5,2.4,3.2,1
17,Thanasis Antetokounmpo\antetth01,SF,23,NYK,2,0,6,25.7,34.3,0.75,0.0,8.6,0.0,25.7,25.7,1.0,0.0,0.0,0.0,0.0,8.6,8.6,0.0,0.0,0.0,0.0,17.1,51.4,140.0,110,Thanasis Antetokounmpo\antetth01/2016,2016,32.9,0.75,0.25,0.0,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.29100000000000004,6.3,-10.5,-4.1,0.0,0
18,Carmelo Anthony\anthoca01,SF,31,NYK,72,72,2530,11.5,26.6,0.434,2.1,6.3,0.33899999999999997,9.4,20.3,0.46299999999999997,6.8,8.2,0.8290000000000001,2.0,9.3,11.3,6.1,1.3,0.8,3.6,3.7,32.0,107.0,107,Carmelo Anthony\anthoca01/2016,2016,20.3,0.53,0.237,0.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,3.9,2.5,6.4,0.121,2.8,-0.2,2.6,2.9,0
19,Joel Anthony\anthojo01,C,33,DET,19,0,96,3.2,5.3,0.6,0.0,0.0,0.0,3.2,5.3,0.6,3.2,4.2,0.75,4.2,6.8,11.0,0.5,1.1,6.3,1.1,7.9,9.5,136.0,99,Joel Anthony\anthojo01/2016,2016,14.1,0.6659999999999999,0.0,0.8,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7.0,0.2,0.2,0.4,0.177,-2.8,5.0,2.2,0.1,0
20,Keith Appling\applike01,PG,23,ORL,5,0,27,3.7,14.8,0.25,0.0,5.6,0.0,3.7,9.3,0.4,3.7,3.7,1.0,0.0,1.9,1.9,1.9,1.9,0.0,5.6,9.3,11.1,57.0,110,Keith Appling\applike01/2016,2016,-4.8,0.33799999999999997,0.375,0.25,0.0,4.2,2.1,5.0,1.9,0.0,25.3,19.5,-0.1,0.0,-0.1,-0.19899999999999998,-10.3,-2.7,-13.0,-0.1,0
21,Trevor Ariza\arizatr01,SF,30,HOU,81,81,2859,6.1,14.8,0.41600000000000004,3.2,8.6,0.371,3.0,6.2,0.478,2.2,2.8,0.7829999999999999,1.2,5.1,6.3,3.2,2.8,0.4,1.9,3.0,17.6,110.0,108,Trevor Ariza\arizatr01/2016,2016,12.9,0.551,0.581,0.187,2.6,11.6,7.1,10.0,2.8,0.8,10.8,15.7,3.1,2.3,5.4,0.09,1.2,0.3,1.5,2.5,0
22,Darrell Arthur\arthuda01,PF,27,DEN,70,16,1516,7.3,16.2,0.452,1.5,3.9,0.385,5.8,12.3,0.473,1.3,1.8,0.755,2.8,6.8,9.7,3.2,1.8,1.6,2.2,6.1,17.4,104.0,108,Darrell Arthur\arthuda01/2016,2016,12.5,0.514,0.239,0.10800000000000001,6.2,15.4,10.7,10.0,1.8,2.6,11.4,16.7,1.0,1.3,2.3,0.07200000000000001,-1.2,0.8,-0.3,0.6,0
23,D.J. Augustin\augusdj01,PG,28,TOT,62,0,1178,6.3,14.8,0.423,2.9,7.1,0.405,3.4,7.7,0.44,4.4,5.4,0.805,0.3,3.7,4.0,8.4,1.6,0.2,3.6,3.6,19.8,113.0,111,D.J. Augustin\augusdj01/2016,2016,13.9,0.575,0.48,0.366,0.8,8.0,4.4,25.3,1.6,0.3,17.1,18.0,2.0,0.6,2.6,0.106,1.0,-2.7,-1.7,0.1,0
24,Jeff Ayres\pendeje02,C,28,LAC,17,0,107,5.6,10.8,0.522,0.0,0.5,0.0,5.6,10.3,0.545,2.8,2.8,1.0,1.9,8.4,10.3,2.3,0.0,1.4,2.8,8.4,14.0,105.0,106,Jeff Ayres\pendeje02/2016,2016,8.3,0.585,0.043,0.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,0.1,0.1,0.2,0.077,-4.7,0.1,-4.6,-0.1,0
25,Cameron Bairstow\bairsca01,C,25,CHI,18,2,103,6.3,19.5,0.325,0.5,2.4,0.2,5.8,17.0,0.34299999999999997,3.4,3.9,0.875,1.9,11.7,13.6,2.9,1.0,1.5,1.9,9.2,16.6,86.0,104,Cameron Bairstow\bairsca01/2016,2016,6.8,0.391,0.125,0.2,4.2,24.0,14.3,8.7,1.0,2.1,8.4,20.3,-0.1,0.1,0.0,-0.004,-6.9,-0.8,-7.7,-0.1,0
26,Leandro Barbosa\barbole01,SG,33,GSW,68,0,1079,7.7,16.6,0.462,1.7,4.9,0.355,5.9,11.6,0.508,2.3,2.8,0.8390000000000001,1.3,4.0,5.2,3.7,2.0,0.4,2.4,4.8,19.4,106.0,106,Leandro Barbosa\barbole01/2016,2016,11.7,0.545,0.297,0.168,3.0,8.4,5.8,10.6,2.0,0.7,11.8,18.1,0.9,1.2,2.1,0.092,-1.2,-0.9,-2.1,0.0,0
27,J.J. Barea\bareajo01,PG,31,DAL,74,16,1667,9.7,21.7,0.446,3.1,7.9,0.385,6.6,13.8,0.48100000000000004,2.3,2.9,0.7709999999999999,0.8,3.8,4.6,9.2,0.8,0.1,3.5,3.4,24.7,106.0,111,J.J. Barea\bareajo01/2016,2016,15.4,0.536,0.366,0.135,1.7,8.3,5.0,31.5,0.8,0.1,13.0,23.8,2.1,0.7,2.8,0.08199999999999999,1.6,-2.8,-1.2,0.3,0
28,Andrea Bargnani\bargnan01,C,30,BRK,46,0,634,10.1,22.2,0.455,0.2,1.3,0.188,9.9,20.9,0.47100000000000003,3.7,4.5,0.825,2.2,5.5,7.7,1.4,0.3,0.7,2.1,4.8,24.2,100.0,115,Andrea Bargnani\bargnan01/2016,2016,11.8,0.5,0.057,0.204,4.9,12.4,8.6,4.8,0.3,1.1,7.9,23.2,0.1,0.0,0.2,0.013000000000000001,-3.7,-4.2,-7.9,-0.9,0
29,Harrison Barnes\barneha02,SF,23,GSW,66,59,2042,7.0,15.0,0.466,1.9,5.1,0.38299999999999995,5.0,9.9,0.508,2.4,3.2,0.7609999999999999,1.8,5.9,7.7,2.8,1.0,0.2,1.3,3.2,18.3,114.0,107,Harrison Barnes\barneha02/2016,2016,12.3,0.5589999999999999,0.33799999999999997,0.212,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,3.1,1.9,4.9,0.11599999999999999,0.4,-0.6,-0.2,0.9,0
30,Will Barton\bartowi01,SG,25,DEN,82,1,2353,9.1,20.9,0.43200000000000005,2.4,6.9,0.345,6.7,14.0,0.47600000000000003,4.6,5.7,0.8059999999999999,1.3,8.9,10.1,4.3,1.5,0.8,3.0,3.1,25.1,105.0,108,Will Barton\bartowi01/2016,2016,16.0,0.535,0.331,0.273,2.7,20.0,11.2,14.4,1.5,1.3,11.2,23.0,2.4,1.9,4.3,0.08800000000000001,0.3,-0.4,-0.1,1.1,0
31,Brandon Bass\bassbr01,PF,30,LAL,66,0,1342,6.5,11.9,0.5489999999999999,0.0,0.1,0.0,6.5,11.8,0.552,4.7,5.5,0.845,3.9,6.8,10.7,2.8,1.2,2.1,1.6,4.7,17.7,127.0,111,Brandon Bass\bassbr01/2016,2016,17.4,0.619,0.006,0.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,3.4,0.7,4.1,0.146,0.1,0.7,0.8,1.0,0
32,Nicolas Batum\batumni01,SF,27,CHO,70,70,2448,7.6,17.9,0.426,2.8,8.2,0.348,4.8,9.7,0.49200000000000005,3.3,3.9,0.8490000000000001,1.1,7.6,8.8,8.3,1.3,0.9,4.2,2.3,21.4,104.0,105,Nicolas Batum\batumni01/2016,2016,15.6,0.546,0.457,0.22,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,2.0,2.9,5.0,0.09699999999999999,1.1,0.9,2.0,2.5,0
33,Jerryd Bayless\bayleje01,SG,27,MIL,52,18,1505,6.3,14.8,0.423,3.4,7.8,0.43700000000000006,2.8,7.0,0.408,2.4,3.0,0.778,0.7,4.1,4.8,5.5,1.6,0.4,2.5,3.8,18.3,110.0,112,Jerryd Bayless\bayleje01/2016,2016,12.4,0.568,0.529,0.20600000000000002,1.6,9.0,5.4,16.2,1.6,0.6,13.3,16.4,1.8,0.6,2.4,0.075,1.1,-2.1,-1.0,0.4,0
34,Aron Baynes\baynear01,C,29,DET,81,1,1233,7.9,15.7,0.505,0.0,0.1,0.0,7.9,15.6,0.508,5.2,6.8,0.764,5.7,10.0,15.7,2.1,0.9,2.1,2.7,6.2,21.0,114.0,104,Aron Baynes\baynear01/2016,2016,17.8,0.563,0.005,0.43,11.9,22.5,17.0,6.6,0.9,3.2,12.8,18.5,2.4,1.7,4.1,0.158,-1.3,1.1,-0.2,0.6,0
35,Kent Bazemore\bazemke01,SF,26,ATL,75,68,2083,7.6,17.2,0.441,2.6,7.2,0.35700000000000004,5.0,10.0,0.502,2.9,3.6,0.815,0.7,8.3,9.0,4.1,2.3,0.9,3.3,4.2,20.7,99.0,100,Kent Bazemore\bazemke01/2016,2016,13.4,0.551,0.42100000000000004,0.20800000000000002,1.5,18.0,9.9,12.7,2.3,1.4,14.8,20.0,0.3,3.8,4.1,0.094,-1.3,1.6,0.3,1.2,0
36,Bradley Beal\bealbr01,SG,22,WAS,55,35,1708,10.2,22.8,0.449,3.0,7.7,0.387,7.2,15.1,0.48100000000000004,3.9,5.0,0.767,1.2,4.2,5.4,4.6,1.5,0.3,3.2,3.3,27.3,103.0,108,Bradley Beal\bealbr01/2016,2016,15.5,0.547,0.33899999999999997,0.22,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,1.4,1.3,2.7,0.076,1.0,-1.6,-0.6,0.6,0
37,Michael Beasley\beaslmi01,PF,27,HOU,20,0,363,14.5,27.8,0.522,0.4,1.2,0.33299999999999996,14.1,26.5,0.531,5.1,6.6,0.7759999999999999,3.9,9.3,13.3,2.2,1.5,1.2,3.3,5.3,34.5,108.0,107,Michael Beasley\beaslmi01/2016,2016,22.5,0.563,0.044000000000000004,0.239,8.8,21.1,14.9,9.1,1.5,2.1,9.6,29.7,0.6,0.3,1.0,0.128,-0.8,-2.5,-3.4,-0.1,0
38,Anthony Bennett\bennean01,PF,22,TOR,19,0,84,4.9,16.6,0.29600000000000004,1.8,8.6,0.214,3.1,8.0,0.385,5.5,6.2,0.9,3.7,10.5,14.1,0.0,3.1,0.0,2.5,4.9,17.2,94.0,102,Anthony Bennett\bennean01/2016,2016,10.4,0.446,0.519,0.37,8.3,22.8,15.7,0.0,3.1,0.0,11.3,19.2,0.0,0.1,0.1,0.054000000000000006,-4.8,-4.6,-9.4,-0.2,0
39,Patrick Beverley\beverpa01,PG,27,HOU,71,63,2041,6.2,14.3,0.434,3.0,7.5,0.4,3.2,6.8,0.47200000000000003,1.4,2.1,0.682,1.8,4.3,6.0,5.8,2.3,0.6,2.2,5.6,16.9,114.0,110,Patrick Beverley\beverpa01/2016,2016,13.0,0.5529999999999999,0.522,0.14800000000000002,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,3.1,1.3,4.4,0.102,1.4,-0.3,1.1,1.6,0
40,Bismack Biyombo\biyombi01,C,23,TOR,82,22,1808,4.5,8.2,0.542,0.0,0.0,0.0,4.5,8.2,0.544,4.1,6.5,0.628,5.2,13.5,18.7,0.8,0.5,3.8,2.0,6.4,13.0,118.0,101,Bismack Biyombo\biyombi01/2016,2016,14.9,0.586,0.003,0.785,11.7,29.5,20.8,2.4,0.5,6.1,15.5,11.5,2.8,3.1,5.9,0.156,-2.4,2.3,-0.1,0.9,0
41,Nemanja Bjelica\bjeline01,PF,27,MIN,60,0,1075,5.2,11.0,0.46799999999999997,2.3,5.9,0.384,2.9,5.2,0.564,1.9,2.6,0.727,2.3,7.5,9.8,3.9,1.2,1.0,2.2,7.2,14.4,114.0,110,Nemanja Bjelica\bjeline01/2016,2016,11.2,0.594,0.532,0.23399999999999999,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,1.4,0.6,1.9,0.087,0.5,-0.2,0.3,0.6,0
42,Tarik Black\blackta01,C,24,LAL,39,0,496,5.8,10.5,0.5479999999999999,0.0,0.0,0.0,5.8,10.5,0.5479999999999999,1.9,4.6,0.42200000000000004,4.5,11.4,15.9,1.6,1.4,1.8,2.2,7.9,13.5,105.0,108,Tarik Black\blackta01/2016,2016,12.3,0.537,0.0,0.433,9.2,25.4,17.0,5.2,1.4,2.9,15.1,12.9,0.3,0.4,0.7,0.07200000000000001,-4.0,0.6,-3.4,-0.2,0
43,DeJuan Blair\blairde01,C,26,WAS,29,0,218,6.3,15.2,0.41200000000000003,0.0,0.2,0.0,6.3,15.0,0.418,1.1,2.9,0.385,4.5,8.3,12.7,2.5,1.8,0.4,3.4,11.9,13.6,85.0,105,DeJuan Blair\blairde01/2016,2016,5.4,0.414,0.015,0.191,10.1,19.4,14.6,7.3,1.8,0.7,16.9,17.8,-0.3,0.3,-0.1,-0.015,-6.3,-0.1,-6.4,-0.2,0
44,Steve Blake\blakest01,PG,35,DET,58,2,986,4.8,12.3,0.38799999999999996,2.7,7.7,0.344,2.1,4.6,0.461,0.8,1.0,0.8,0.5,4.1,4.6,10.2,1.2,0.3,4.1,3.6,13.0,101.0,108,Steve Blake\blakest01/2016,2016,9.8,0.51,0.629,0.083,1.0,9.2,4.9,29.5,1.2,0.4,24.6,14.6,0.3,0.8,1.1,0.053,-1.8,-1.8,-3.5,-0.4,0
45,Matt Bonner\bonnema01,C,35,SAS,30,2,206,7.2,14.2,0.509,3.7,8.4,0.441,3.5,5.7,0.609,0.7,1.0,0.75,0.7,6.0,6.7,2.2,1.5,0.2,0.7,4.0,18.9,126.0,102,Matt Bonner\bonnema01/2016,2016,14.1,0.647,0.596,0.07,1.7,12.8,7.5,6.3,1.5,0.4,4.9,13.7,0.4,0.3,0.8,0.18100000000000002,1.8,-0.3,1.6,0.2,0
46,Devin Booker\bookede01,SG,19,PHO,76,51,2108,8.5,20.0,0.423,2.3,6.7,0.34299999999999997,6.2,13.4,0.46399999999999997,5.0,5.9,0.84,0.6,3.7,4.3,4.6,1.0,0.5,3.7,5.2,24.2,102.0,112,Devin Booker\bookede01/2016,2016,11.9,0.535,0.33299999999999996,0.295,1.4,8.4,4.8,15.8,1.0,0.8,14.0,23.0,1.2,0.7,1.9,0.043,-0.6,-2.4,-3.1,-0.6,0
47,Chris Bosh\boshch01,PF,31,MIA,53,53,1778,10.3,22.1,0.467,2.3,6.4,0.365,8.0,15.7,0.508,6.1,7.7,0.795,1.4,9.9,11.3,3.7,1.0,1.0,2.3,2.9,29.1,114.0,104,Chris Bosh\boshch01/2016,2016,20.2,0.5710000000000001,0.289,0.349,3.2,21.1,12.4,12.1,1.0,1.5,8.1,24.7,4.1,2.3,6.4,0.172,2.3,-0.3,2.1,1.8,1
48,Elton Brand\brandel01,C,36,PHI,17,1,225,6.8,15.7,0.431,0.0,0.2,0.0,6.8,15.5,0.43700000000000006,1.7,2.0,0.889,2.0,11.8,13.7,3.9,2.0,1.7,2.4,7.0,15.2,93.0,105,Elton Brand\brandel01/2016,2016,11.4,0.461,0.013999999999999999,0.125,4.2,27.0,15.2,13.1,2.0,2.7,12.6,16.9,-0.1,0.3,0.2,0.036000000000000004,-5.5,1.5,-4.0,-0.1,0
