,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,as_caliber
74,Antonio Blakeney\blakean01,SG,21,CHI,19,0,314,8.2,22.2,0.371,2.3,8.1,0.28800000000000003,5.9,14.1,0.418,4.7,6.1,0.769,0.6,4.5,5.1,3.1,1.1,0.2,1.7,3.0,23.5,96.0,114,10.1,0.47100000000000003,0.364,0.273,1.3,10.3,5.6,10.1,1.1,0.3,6.4,23.7,-0.2,0.1,0.0,-0.006,-3.2,-3.6,-6.8,-0.4,0
75,Eric Bledsoe\bledser01,PG,28,TOT,74,74,2322,10.0,21.2,0.473,2.7,7.7,0.34700000000000003,7.4,13.5,0.545,5.4,6.8,0.795,1.1,5.0,6.1,7.9,3.2,0.9,4.6,4.0,28.2,109.0,108,19.7,0.5820000000000001,0.364,0.321,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,3.1,2.5,5.6,0.11599999999999999,2.4,-0.3,2.1,2.4,0
76,Eric Bledsoe\bledser01,PG,28,TOT,74,74,2322,10.0,21.2,0.473,2.7,7.7,0.34700000000000003,7.4,13.5,0.545,5.4,6.8,0.795,1.1,5.0,6.1,7.9,3.2,0.9,4.6,4.0,28.2,109.0,108,13.0,0.509,0.325,0.35,3.8,5.2,4.5,17.9,2.3,1.9,17.8,28.7,-0.1,0.0,0.0,-0.027999999999999997,-2.5,-2.4,-4.9,-0.1,0
77,Eric Bledsoe\bledser01,PG,28,TOT,74,74,2322,10.0,21.2,0.473,2.7,7.7,0.34700000000000003,7.4,13.5,0.545,5.4,6.8,0.795,1.1,5.0,6.1,7.9,3.2,0.9,4.6,4.0,28.2,109.0,108,20.0,0.585,0.366,0.319,2.5,11.9,7.2,26.0,3.2,1.5,16.0,26.0,3.2,2.4,5.7,0.121,2.6,-0.2,2.4,2.5,0
78,Eric Bledsoe\bledser01,PG,28,PHO,3,3,83,9.2,23.1,0.4,2.3,7.5,0.308,6.9,15.6,0.444,6.3,8.1,0.7859999999999999,1.7,2.3,4.0,5.2,2.3,1.2,5.8,3.5,27.1,94.0,113,19.7,0.5820000000000001,0.364,0.321,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,3.1,2.5,5.6,0.11599999999999999,2.4,-0.3,2.1,2.4,0
79,Eric Bledsoe\bledser01,PG,28,PHO,3,3,83,9.2,23.1,0.4,2.3,7.5,0.308,6.9,15.6,0.444,6.3,8.1,0.7859999999999999,1.7,2.3,4.0,5.2,2.3,1.2,5.8,3.5,27.1,94.0,113,13.0,0.509,0.325,0.35,3.8,5.2,4.5,17.9,2.3,1.9,17.8,28.7,-0.1,0.0,0.0,-0.027999999999999997,-2.5,-2.4,-4.9,-0.1,0
80,Eric Bledsoe\bledser01,PG,28,PHO,3,3,83,9.2,23.1,0.4,2.3,7.5,0.308,6.9,15.6,0.444,6.3,8.1,0.7859999999999999,1.7,2.3,4.0,5.2,2.3,1.2,5.8,3.5,27.1,94.0,113,20.0,0.585,0.366,0.319,2.5,11.9,7.2,26.0,3.2,1.5,16.0,26.0,3.2,2.4,5.7,0.121,2.6,-0.2,2.4,2.5,0
81,Eric Bledsoe\bledser01,PG,28,MIL,71,71,2239,10.1,21.1,0.47600000000000003,2.7,7.7,0.349,7.4,13.4,0.55,5.4,6.7,0.795,1.1,5.1,6.2,8.0,3.2,0.9,4.6,4.0,28.2,109.0,108,19.7,0.5820000000000001,0.364,0.321,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,3.1,2.5,5.6,0.11599999999999999,2.4,-0.3,2.1,2.4,0
82,Eric Bledsoe\bledser01,PG,28,MIL,71,71,2239,10.1,21.1,0.47600000000000003,2.7,7.7,0.349,7.4,13.4,0.55,5.4,6.7,0.795,1.1,5.1,6.2,8.0,3.2,0.9,4.6,4.0,28.2,109.0,108,13.0,0.509,0.325,0.35,3.8,5.2,4.5,17.9,2.3,1.9,17.8,28.7,-0.1,0.0,0.0,-0.027999999999999997,-2.5,-2.4,-4.9,-0.1,0
83,Eric Bledsoe\bledser01,PG,28,MIL,71,71,2239,10.1,21.1,0.47600000000000003,2.7,7.7,0.349,7.4,13.4,0.55,5.4,6.7,0.795,1.1,5.1,6.2,8.0,3.2,0.9,4.6,4.0,28.2,109.0,108,20.0,0.585,0.366,0.319,2.5,11.9,7.2,26.0,3.2,1.5,16.0,26.0,3.2,2.4,5.7,0.121,2.6,-0.2,2.4,2.5,0
